year,average_score
1877,7.5
1878,
1879,4.0
1880,6.0
1881,1.0
1882,5.2
1883,5.3
1884,2.2
1885,5.0
1886,3.7
1887,8.0
1888,4.2
1889,3.5
1890,6.5
1891,
1892,4.5
1893,1.3
1894,8.0
1895,4.0
1896,4.7
1897,4.0
1898,3.8
1899,2.9
1900,
1901,2.0
1902,5.0
1903,6.0
1904,4.5
1905,1.8
1906,5.2
1907,4.2
1908,6.2
1909,3.2
1910,6.1
1911,5.6
1912,3.2
1913,2.0
1914,4.0
1915,
1916,
1917,
1918,
1919,
1920,3.0
1921,3.3
1922,5.0
1923,4.2
1924,2.5
1925,5.5
1926,1.6
1927,5.5
1928,3.9
1929,3.7
1930,3.1
1931,2.2
1932,4.0
1933,2.9
1934,2.4
1935,2.5
1936,2.6
1937,3.3
1938,2.0
1939,1.8
1940,
1941,
1942,
1943,
1944,
1945,
1946,2.0
1947,2.5
1948,2.8
1949,2.1
1950,4.2
1951,4.2
1952,3.4
1953,2.3
1954,4.0
1955,2.8
1956,3.1
1957,2.9
1958,3.0
1959,3.3
1960,2.5
1961,3.4
1962,3.5
1963,2.9
1964,2.0
1965,2.3
1966,2.6
1967,3.7
1968,3.6
1969,3.5
1970,2.8
1971,2.8
1972,3.6
1973,2.7
1974,3.0
1975,2.8
1976,3.3
1977,3.9
1978,3.4
1979,2.9
1980,2.9
1981,3.7
1982,3.3
1983,2.5
1984,2.8
1985,3.1
1986,2.8
1987,2.3
1988,3.2
1989,2.5
1990,3.1
1991,3.0
1992,3.5
1993,3.0
1994,3.4
1995,3.4
1996,3.5
1997,2.8
1998,4.1
1999,3.5
2000,3.9
2001,3.5
2002,3.6
2003,3.2
2004,3.5
2005,3.3
2006,3.9
2007,3.4
2008,3.9
2009,3.3
2010,3.5
2011,3.6
2012,3.8
2013,3.5
2014,4.0
2015,4.0
2016,4.0
2017,4.0
2018,4.5
2019,3.7
2020,3.7
2021,4.0
2022,4.0
2023,4.2
