year,results,margins_year,margin,decade,score
1877,England,1877,4 wickets,1870,7.0
1877,Australia,1877,45 runs,1870,8.0
1878,,1878,,1870,
1879,Australia,1879,10 wickets,1870,4.0
1880,England,1880,5 wickets,1880,6.0
1881,drawn,1881,-,1880,1.0
1882,Australia,1882,9 wickets,1880,4.0
1882,Australia,1882,7 runs,1880,9.0
1882,drawn,1882,-,1880,1.0
1882,Australia,1882,6 wickets,1880,6.0
1882,Australia,1882,5 wickets,1880,6.0
1883,Australia,1883,4 wickets,1880,7.0
1883,England,1883,69 runs,1880,7.0
1883,England,1883,inns & 27 runs,1880,2.0
1884,England,1884,8 wickets,1880,5.0
1884,drawn,1884,-,1880,1.0
1884,England,1884,inns & 5 runs,1880,2.0
1884,drawn,1884,-,1880,1.0
1885,England,1885,inns & 98 runs,1880,2.0
1885,Australia,1885,8 wickets,1880,5.0
1885,Australia,1885,6 runs,1880,9.0
1885,England,1885,10 wickets,1880,4.0
1886,England,1886,inns & 217 runs,1880,2.0
1886,England,1886,inns & 106 runs,1880,2.0
1886,England,1886,4 wickets,1880,7.0
1887,England,1887,71 runs,1880,7.0
1887,England,1887,13 runs,1880,9.0
1888,England,1888,inns & 21 runs,1880,2.0
1888,England,1888,inns & 137 runs,1880,2.0
1888,Australia,1888,61 runs,1880,7.0
1888,England,1888,126 runs,1880,6.0
1889,England,1889,inns & 202 runs,1880,2.0
1889,England,1889,8 wickets,1880,5.0
1890,England,1890,2 wickets,1890,8.0
1890,England,1890,7 wickets,1890,5.0
1891,,1891,,1890,
1892,England,1892,inns & 230 runs,1890,2.0
1892,England,1892,inns & 189 runs,1890,2.0
1892,Australia,1892,72 runs,1890,7.0
1892,Australia,1892,54 runs,1890,7.0
1893,drawn,1893,-,1890,1.0
1893,England,1893,inns & 43 runs,1890,2.0
1893,drawn,1893,-,1890,1.0
1894,England,1894,94 runs,1890,7.0
1894,England,1894,10 runs,1890,9.0
1895,England,1895,6 wickets,1890,6.0
1895,Australia,1895,inns & 147 runs,1890,2.0
1895,Australia,1895,382 runs,1890,4.0
1896,England,1896,66 runs,1890,7.0
1896,Australia,1896,3 wickets,1890,7.0
1896,England,1896,6 wickets,1890,6.0
1896,England,1896,inns & 33 runs,1890,2.0
1896,England,1896,inns & 197 runs,1890,2.0
1896,England,1896,288 runs,1890,4.0
1897,England,1897,9 wickets,1890,4.0
1898,Australia,1898,6 wickets,1890,6.0
1898,Australia,1898,8 wickets,1890,5.0
1898,Australia,1898,inns & 13 runs,1890,2.0
1898,Australia,1898,inns & 55 runs,1890,2.0
1899,drawn,1899,-,1890,1.0
1899,drawn,1899,-,1890,1.0
1899,drawn,1899,-,1890,1.0
1899,Australia,1899,10 wickets,1890,4.0
1899,drawn,1899,-,1890,1.0
1899,England,1899,210 runs,1890,4.0
1899,England,1899,32 runs,1890,8.0
1900,,1900,,1900,
1901,England,1901,inns & 124 runs,1900,2.0
