year,number_of_matches,number_of_draws,draw_percentage
1877,2,0,0.0
1878,0,0,
1879,1,0,0.0
1880,1,0,0.0
1881,1,1,100.0
1882,5,1,20.0
1883,3,0,0.0
1884,4,2,50.0
1885,4,0,0.0
1886,3,0,0.0
1887,2,0,0.0
1888,4,0,0.0
1889,2,0,0.0
1890,2,0,0.0
1891,0,0,
1892,4,0,0.0
1893,3,2,66.7
1894,2,0,0.0
1895,3,0,0.0
1896,6,0,0.0
1897,1,0,0.0
1898,4,0,0.0
1899,7,4,57.1
1900,0,0,
1901,1,0,0.0
1902,12,3,25.0
1903,1,0,0.0
1904,4,0,0.0
1905,5,3,60.0
1906,5,0,0.0
1907,4,2,50.0
1908,4,0,0.0
1909,5,2,40.0
1910,7,0,0.0
1911,5,0,0.0
1912,12,3,25.0
1913,2,0,0.0
1914,3,1,33.3
1915,0,0,
1916,0,0,
1917,0,0,
1918,0,0,
1919,0,0,
1920,2,0,0.0
1921,11,4,36.4
1922,1,0,0.0
1923,4,2,50.0
1924,6,2,33.3
1925,4,0,0.0
1926,5,4,80.0
1927,2,0,0.0
1928,9,1,11.1
1929,7,3,42.9
1930,15,7,46.7
1931,14,6,42.9
1932,7,0,0.0
1933,9,3,33.3
1934,7,3,42.9
1935,11,6,54.5
1936,8,1,12.5
1937,6,2,33.3
1938,6,4,66.7
1939,6,4,66.7
1940,0,0,
1941,0,0,
1942,0,0,
1943,0,0,
1944,0,0,
1945,0,0,
1946,6,2,33.3
1947,11,6,54.5
1948,17,7,41.2
1949,11,7,63.6
1950,9,1,11.1
1951,17,5,29.4
1952,16,4,25.0
1953,17,10,58.8
1954,15,4,26.7
1955,26,12,46.2
1956,15,3,20.0
1957,11,4,36.4
1958,18,4,22.2
1959,20,4,20.0
1960,18,11,61.1
1961,17,9,52.9
1962,18,4,22.2
1963,12,4,33.3
1964,24,18,75.0
1965,26,16,61.5
1966,15,5,33.3
1967,12,3,25.0
1968,18,7,38.9
1969,26,11,42.3
1970,6,2,33.3
1971,17,11,64.7
1972,14,6,42.9
1973,22,12,54.5
1974,22,9,40.9
1975,16,6,37.5
1976,23,7,30.4
1977,23,7,30.4
1978,27,9,33.3
1979,28,15,53.6
1980,25,14,56.0
1981,23,9,39.1
1982,28,11,39.3
1983,30,15,50.0
1984,34,13,38.2
1985,26,11,42.3
1986,30,13,43.3
1987,25,16,64.0
1988,24,8,33.3
1989,21,12,57.1
1990,26,10,38.5
1991,21,10,47.6
1992,26,12,46.2
1993,36,13,36.1
1994,38,12,31.6
1995,40,12,30.0
1996,28,9,32.1
1997,44,21,47.7
1998,45,11,24.4
1999,43,14,32.6
2000,46,12,26.1
2001,55,12,21.8
2002,54,8,14.8
2003,44,12,27.3
2004,51,11,21.6
2005,49,12,24.5
2006,46,12,26.1
2007,31,9,29.0
2008,47,11,23.4
2009,41,15,36.6
2010,43,11,25.6
2011,39,12,30.8
2012,42,10,23.8
2013,44,11,25.0
2014,41,8,19.5
2015,43,9,20.9
2016,47,7,14.9
2017,47,7,14.9
2018,48,5,10.4
2019,39,4,10.3
2020,22,3,13.6
2021,44,7,15.9
2022,43,7,16.3
2023,34,6,17.6
